Node	GO:0016301-kinase activity	GO:0007165-signal transduction	GO:0045893-positive regulation of transcription, DNA-templated	GO:0045944-positive regulation of transcription by RNA polymerase II	GO:0008284-positive regulation of cell proliferation	GO:0043066-negative regulation of apoptotic process	GO:0006915-apoptotic process	GO:0032991-protein-containing complex	GO:0006355-regulation of transcription, DNA-templated	GO:0000122-negative regulation of transcription by RNA polymerase II	GO:0010628-positive regulation of gene expression	GO:0042803-protein homodimerization activity	GO:0003677-DNA binding	GO:0043065-positive regulation of apoptotic process	GO:0003700-DNA-binding transcription factor activity	GO:0008285-negative regulation of cell proliferation	GO:0046777-protein autophosphorylation	GO:0046982-protein heterodimerization activity	GO:0004713-protein tyrosine kinase activity
PPP1CA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKACA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PRKCA	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PRKCD	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PTEN	0	0	0	0	1	1	1	0	0	0	1	0	0	1	0	1	0	0	0
PTEN_g	0	0	0	0	1	1	1	0	0	0	1	0	0	1	0	1	0	0	0
PTPN11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PTPN6	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0
RAC_f	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAF_f	1	1	0	1	0	1	1	0	0	0	1	0	0	0	0	1	0	1	1
REL_f	0	0	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0	1	0
RHEB	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RHOA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RND3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ROCK1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
RSK_f	1	1	0	1	0	1	1	0	0	0	1	0	0	1	0	1	0	0	0
RTPK_f	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1
RTPK_g	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1
S6K_f	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
SFRP1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0
SFRP1_g	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0
SHC1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SKI	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0
SKP2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMAD1	0	1	0	1	0	0	0	1	1	0	1	1	1	0	1	1	0	1	0
SMAD2	0	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	0	1	0
SMAD3	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	0
SMAD4	0	0	1	1	0	0	0	0	1	1	0	1	1	0	1	1	0	1	0
SMAD5	0	1	1	1	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0
SMAD6	0	0	0	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0
SMAD6_g	0	0	0	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	0
SMAD7	0	0	0	1	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0
SMAD7_g	0	0	0	1	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0
SMURF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMURF2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
SOCS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOCS1_g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOS1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0
SRC	1	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1
SRF	0	0	1	1	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0
STAT1	0	1	1	1	1	0	0	1	1	1	0	1	1	0	1	0	0	0	0
STAT2	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0
STAT3	0	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	0	0	0
SYK	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1
TAB_f	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TCF7_f	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0
TGFB1	0	0	1	1	1	0	0	0	0	1	1	1	0	1	0	1	0	1	0
TGFBR1	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0
TGFBR2	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0
TIAM1	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0
TP53	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	0
TRAF6	0	1	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0
TSC_f	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0
VAV1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
